Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:00:00.190	00:00:01.800	00:00:01.610	{СМЕХ}	
00:00:02.130	00:00:02.830	00:00:00.700	Так, ага.	
00:00:02.830	00:00:03.270	00:00:00.440	Всё.	
00:00:04.671	00:00:06.934	00:00:02.263		Тк-к …(0.7) я не знаю, 
00:00:06.934	00:00:07.947	00:00:01.013		правда это или ложь,
00:00:07.947	00:00:09.684	00:00:01.737		как вы к этому отнесётесь, …(0.5)
00:00:09.684	00:00:10.289	00:00:00.605		Ева,
00:00:10.289	00:00:14.000	00:00:03.711		но эт= б= || это было м(0.8) со мной конкретно.
00:00:14.671	00:00:15.158	00:00:00.487	Угу.	
00:00:15.211	00:00:18.671	00:00:03.460		Это было-о …(1.5) весной, …(1.0)
00:00:18.671	00:00:21.605	00:00:02.934		это было достаточно по-оздно, …(0.3)
00:00:21.605	00:00:26.763	00:00:05.158		я возвращался …(0.6) а(0.6) …(0.6) из театра …(0.8) 
00:00:26.763	00:00:27.540	00:00:00.777		вот.
00:00:27.540	00:00:34.714	00:00:07.174		М(1.6) замечательная погода была …(1.1) м(0.8). …(2.4)
00:00:34.714	00:00:36.302	00:00:01.588		А(0.5) пели соловьи,
00:00:36.302	00:00:37.825	00:00:01.523		нет ещё не пели соловьи, 
00:00:37.825	00:00:38.238	00:00:00.413		да.
00:00:38.238	00:00:40.397	00:00:02.159		Н-небо было достаточно очень звёздное хор= |S|
00:00:40.397	00:00:41.302	00:00:00.905		Я люблю |E|
00:00:41.302	00:00:43.302	00:00:02.000		когда возвращаюсь поздно |E|
00:00:43.302	00:00:45.190	00:00:01.888		например, э(0.6) осенью,
00:00:45.190	00:00:46.603	00:00:01.413		или-и весной,
00:00:46.603	00:00:49.270	00:00:02.667		и люблюсмотреть …(0.4) вверх …(0.6),
00:00:49.270	00:00:50.365	00:00:01.095		да.
00:00:50.365	00:00:51.778	00:00:01.413		Смотреть на млечный пу-уть, 
00:00:51.778	00:00:52.175	00:00:00.397		да,
00:00:52.175	00:00:53.667	00:00:01.492		смотреть на Большую медве-едицу,
00:00:53.667	00:00:54.730	00:00:01.063		малую медведицу. …(0.4)
00:00:54.730	00:00:58.857	00:00:04.127		На меня это производит …(0.4) большое впечатление.
