Время начала - чч:мм:сс.мс	Время окончания - чч:мм:сс.мс	Длительность - чч:мм:сс.мс	интервьюер	информант
00:00:00.000	00:00:03.870	00:00:03.870		М(0.3) у нас на театре есть такой а(0.2) м(0.5) проект, 
00:00:03.870	00:00:05.930	00:00:02.060		что а(0.4) особо отличившимся |E|
00:00:05.930	00:00:07.780	00:00:01.850		(э(0.5) которых избирает, 
00:00:07.780	00:00:08.630	00:00:00.850		например коллектив,
00:00:08.630	00:00:09.450	00:00:00.820		да), ...(0.3)
00:00:09.450	00:00:11.260	00:00:01.810		в результате голосова-ания
00:00:11.260	00:00:12.400	00:00:01.140		избирается человек, 
00:00:12.400	00:00:15.040	00:00:02.640		он награждается путевкой э(0.2) в Москву.
00:00:15.040	00:00:20.100	00:00:05.060		И там у него есть ...(0.5) возможность попасть а(0.7) в ко-онцерт,
00:00:20.100	00:00:23.990	00:00:03.890		либо посетить какой-нибудь один из замечательных театров,
00:00:23.990	00:00:26.050	00:00:02.060		э(0.3) а(0.3) и посмотреть спектакль |E|
00:00:26.050	00:00:27.458	00:00:01.408		премьеру например.
00:00:27.458	00:00:33.051	00:00:05.593		Э(0.3) не далее как эм(0.5) {ЧМОКАНЬЕ} {ВЗДОХ} э(0.4) месяц назад,
00:00:33.051	00:00:35.186	00:00:02.135		я удостоился такой чести,
00:00:35.186	00:00:38.119	00:00:02.933		и э(0.3) был отправлен в Москву. 
00:00:38.119	00:00:41.441	00:00:03.322		Меня поселили в замечательной гостинице |E| …(0.4)
00:00:41.441	00:00:44.000	00:00:02.559		(а(0.3) это от Союза театральных деятелей),
00:00:44.000	00:00:46.814	00:00:02.814		{НРЗБ} это был двухместный номер, …(0.3)
00:00:46.814	00:00:48.525	00:00:01.711		замечательные условия {ВЗДОХ},
00:00:48.525	00:00:48.966	00:00:00.441		вот |S|
00:00:48.966	00:00:52.932	00:00:03.966		И || а вечером я пошел в= ф(0.3) в театр, 
00:00:52.932	00:00:57.424	00:00:04.492		потому что у меня была возможность попасть э(0.2) на спектакль э(0.5),
00:00:57.424	00:00:58.831	00:00:01.407		Грибоедова,
00:00:58.831	00:01:01.068	00:00:02.237		"Горе от ума".
00:01:01.068	00:01:01.763	00:00:00.695		Вот.
00:01:01.763	00:01:03.627	00:00:01.864		Замечательный спектакль. …(0.5)
00:01:03.627	00:01:07.763	00:00:04.136		А(0.5) он длит= длился достаточно очень мно-ого ...(0.4) по времени, 
00:01:07.763	00:01:08.424	00:00:00.661		да,
00:01:08.424	00:01:12.593	00:00:04.169		и-и {КАШЕЛЬ} ...(0.7) в этом смысле на меня было а(1.6) |ES|
00:01:12.593	00:01:15.729	00:00:03.136		Во-первых сама атмосфера, 
00:01:15.729	00:01:19.170	00:00:03.441		во-вторых то что я …(0.4) давно не был в этом теа-атре, 
00:01:19.170	00:01:21.051	00:00:01.881		потому что а(0.5) |E|
00:01:21.051	00:01:25.814	00:00:04.763		ну в силу нашей профессии мы все время театральный сезон находимся здесь.
00:01:25.814	00:01:27.220	00:00:01.406		И безвыездно,
00:01:27.220	00:01:31.339	00:00:04.119		безвылазно работаем в нашем театре альма-матер, 
00:01:31.339	00:01:32.153	00:00:00.814		в театре Комедия. 
00:01:32.153	00:01:33.475	00:00:01.322		 А вот тут такая возможность, 
00:01:33.475	00:01:34.542	00:00:01.067		и вот {ВЗДОХ} |ES|
00:01:34.542	00:01:37.017	00:00:02.475		Конечно сама атмосфе-ера, 
00:01:37.017	00:01:41.763	00:00:04.746		конечно сам театр Вахтангова на меня произвел сильне-ейшие впечатление.
00:01:41.767	00:01:54.567	00:00:12.800		И конечно …(0.6) а(0.3) м(1.0) э(0.3) режиссёр Туминас сделал из …(1.4) этого спектакля просто потрясающее а(2.0) театральное действо,
00:01:54.567	00:01:57.867	00:00:03.300		где я был просто в него …(0.6) погружён, 
00:01:57.867	00:02:00.033	00:00:02.166		поглощён атмосфе-ерой, 
00:02:00.033	00:02:00.900	00:00:00.867		музыкой,
